----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
AdaptiveAvgPool2d-127            [-1, 256, 1, 1]               0
          Linear-128                   [-1, 16]           4,112
           PReLU-129                   [-1, 16]               1
          Linear-130                  [-1, 256]           4,352
         Sigmoid-131                  [-1, 256]               0
         SEBlock-132          [-1, 256, 14, 14]               0
           PReLU-133          [-1, 256, 14, 14]               1
         IRBlock-134          [-1, 256, 14, 14]               0
     BatchNorm2d-135          [-1, 256, 14, 14]             512
          Conv2d-136          [-1, 256, 14, 14]         589,824
     BatchNorm2d-137          [-1, 256, 14, 14]             512
           PReLU-138          [-1, 256, 14, 14]               1
          Conv2d-139          [-1, 256, 14, 14]         589,824
     BatchNorm2d-140          [-1, 256, 14, 14]             512
AdaptiveAvgPool2d-141            [-1, 256, 1, 1]               0
          Linear-142                   [-1, 16]           4,112
           PReLU-143                   [-1, 16]               1
          Linear-144                  [-1, 256]           4,352
         Sigmoid-145                  [-1, 256]               0
         SEBlock-146          [-1, 256, 14, 14]               0
           PReLU-147          [-1, 256, 14, 14]               1
         IRBlock-148          [-1, 256, 14, 14]               0
     BatchNorm2d-149          [-1, 256, 14, 14]             512
          Conv2d-150          [-1, 256, 14, 14]         589,824
     BatchNorm2d-151          [-1, 256, 14, 14]             512
           PReLU-152          [-1, 256, 14, 14]               1
          Conv2d-153          [-1, 256, 14, 14]         589,824
     BatchNorm2d-154          [-1, 256, 14, 14]             512
AdaptiveAvgPool2d-155            [-1, 256, 1, 1]               0
          Linear-156                   [-1, 16]           4,112
           PReLU-157                   [-1, 16]               1
          Linear-158                  [-1, 256]           4,352
         Sigmoid-159                  [-1, 256]               0
         SEBlock-160          [-1, 256, 14, 14]               0
           PReLU-161          [-1, 256, 14, 14]               1
         IRBlock-162          [-1, 256, 14, 14]               0
     BatchNorm2d-163          [-1, 256, 14, 14]             512
          Conv2d-164          [-1, 256, 14, 14]         589,824
     BatchNorm2d-165          [-1, 256, 14, 14]             512
           PReLU-166          [-1, 256, 14, 14]               1
          Conv2d-167          [-1, 256, 14, 14]         589,824
     BatchNorm2d-168          [-1, 256, 14, 14]             512
AdaptiveAvgPool2d-169            [-1, 256, 1, 1]               0
          Linear-170                   [-1, 16]           4,112
           PReLU-171                   [-1, 16]               1
          Linear-172                  [-1, 256]           4,352
         Sigmoid-173                  [-1, 256]               0
         SEBlock-174          [-1, 256, 14, 14]               0
           PReLU-175          [-1, 256, 14, 14]               1
         IRBlock-176          [-1, 256, 14, 14]               0
     BatchNorm2d-177          [-1, 256, 14, 14]             512
          Conv2d-178          [-1, 256, 14, 14]         589,824
     BatchNorm2d-179          [-1, 256, 14, 14]             512
           PReLU-180          [-1, 256, 14, 14]               1
          Conv2d-181          [-1, 256, 14, 14]         589,824
     BatchNorm2d-182          [-1, 256, 14, 14]             512
AdaptiveAvgPool2d-183            [-1, 256, 1, 1]               0
          Linear-184                   [-1, 16]           4,112
           PReLU-185                   [-1, 16]               1
          Linear-186                  [-1, 256]           4,352
         Sigmoid-187                  [-1, 256]               0
         SEBlock-188          [-1, 256, 14, 14]               0
           PReLU-189          [-1, 256, 14, 14]               1
         IRBlock-190          [-1, 256, 14, 14]               0
     BatchNorm2d-191          [-1, 256, 14, 14]             512
          Conv2d-192          [-1, 256, 14, 14]         589,824
     BatchNorm2d-193          [-1, 256, 14, 14]             512
           PReLU-194          [-1, 256, 14, 14]               1
          Conv2d-195          [-1, 256, 14, 14]         589,824
     BatchNorm2d-196          [-1, 256, 14, 14]             512
AdaptiveAvgPool2d-197            [-1, 256, 1, 1]               0
          Linear-198                   [-1, 16]           4,112
           PReLU-199                   [-1, 16]               1
          Linear-200                  [-1, 256]           4,352
         Sigmoid-201                  [-1, 256]               0
         SEBlock-202          [-1, 256, 14, 14]               0
           PReLU-203          [-1, 256, 14, 14]               1
         IRBlock-204          [-1, 256, 14, 14]               0
     BatchNorm2d-205          [-1, 256, 14, 14]             512
          Conv2d-206          [-1, 256, 14, 14]         589,824
     BatchNorm2d-207          [-1, 256, 14, 14]             512
           PReLU-208          [-1, 256, 14, 14]               1
          Conv2d-209          [-1, 256, 14, 14]         589,824
     BatchNorm2d-210          [-1, 256, 14, 14]             512
AdaptiveAvgPool2d-211            [-1, 256, 1, 1]               0
          Linear-212                   [-1, 16]           4,112
           PReLU-213                   [-1, 16]               1
          Linear-214                  [-1, 256]           4,352
         Sigmoid-215                  [-1, 256]               0
         SEBlock-216          [-1, 256, 14, 14]               0
           PReLU-217          [-1, 256, 14, 14]               1
         IRBlock-218          [-1, 256, 14, 14]               0
